"date","Dólar","Salario_Minimo","Reservas_Internacionais","Selic","IPCA"
"1994-07-01",1,64.79,43090,NA,6.84
"1994-07-04",0.94,64.79,43090,NA,6.84
"1994-07-05",0.932,64.79,43090,NA,6.84
"1994-07-06",0.915,64.79,43090,NA,6.84
"1994-07-07",0.91,64.79,43090,NA,6.84
"1994-07-08",0.92,64.79,43090,NA,6.84
"1994-07-11",0.925,64.79,43090,NA,6.84
"1994-07-12",0.92,64.79,43090,NA,6.84
"1994-07-13",0.92,64.79,43090,NA,6.84
"1994-07-14",0.925,64.79,43090,NA,6.84
"1994-07-15",0.935,64.79,43090,NA,6.84
"1994-07-18",0.935,64.79,43090,NA,6.84
"1994-07-19",0.935,64.79,43090,NA,6.84
"1994-07-20",0.932,64.79,43090,NA,6.84
"1994-07-21",0.932,64.79,43090,NA,6.84
"1994-07-22",0.937,64.79,43090,NA,6.84
"1994-07-25",0.936,64.79,43090,NA,6.84
"1994-07-26",0.934,64.79,43090,NA,6.84
"1994-07-27",0.936,64.79,43090,NA,6.84
"1994-07-28",0.94,64.79,43090,NA,6.84
"1994-07-29",0.94,64.79,43090,NA,6.84
"1994-08-01",0.932,64.79,42981,NA,1.86
"1994-08-02",0.92,64.79,42981,NA,1.86
"1994-08-03",0.91,64.79,42981,NA,1.86
"1994-08-04",0.91,64.79,42981,NA,1.86
"1994-08-05",0.912,64.79,42981,NA,1.86
"1994-08-08",0.906,64.79,42981,NA,1.86
"1994-08-09",0.891,64.79,42981,NA,1.86
"1994-08-10",0.892,64.79,42981,NA,1.86
"1994-08-11",0.894,64.79,42981,NA,1.86
"1994-08-12",0.906,64.79,42981,NA,1.86
"1994-08-15",0.901,64.79,42981,NA,1.86
"1994-08-16",0.896,64.79,42981,NA,1.86
"1994-08-17",0.901,64.79,42981,NA,1.86
"1994-08-18",0.897,64.79,42981,NA,1.86
"1994-08-19",0.894,64.79,42981,NA,1.86
"1994-08-22",0.887,64.79,42981,NA,1.86
"1994-08-23",0.887,64.79,42981,NA,1.86
"1994-08-24",0.884,64.79,42981,NA,1.86
"1994-08-25",0.888,64.79,42981,NA,1.86
"1994-08-26",0.888,64.79,42981,NA,1.86
"1994-08-29",0.896,64.79,42981,NA,1.86
"1994-08-30",0.887,64.79,42981,NA,1.86
"1994-08-31",0.889,64.79,42981,NA,1.86
"1994-09-01",0.885,70,43455,NA,1.53
"1994-09-02",0.886,70,43455,NA,1.53
"1994-09-05",0.892,70,43455,NA,1.53
"1994-09-06",0.886,70,43455,NA,1.53
"1994-09-08",0.881,70,43455,NA,1.53
"1994-09-09",0.872,70,43455,NA,1.53
"1994-09-12",0.853,70,43455,NA,1.53
"1994-09-13",0.86,70,43455,NA,1.53
"1994-09-14",0.855,70,43455,NA,1.53
"1994-09-15",0.857,70,43455,NA,1.53
"1994-09-16",0.857,70,43455,NA,1.53
"1994-09-19",0.854,70,43455,NA,1.53
"1994-09-20",0.854,70,43455,NA,1.53
"1994-09-21",0.857,70,43455,NA,1.53
"1994-09-22",0.855,70,43455,NA,1.53
"1994-09-23",0.857,70,43455,NA,1.53
"1994-09-26",0.862,70,43455,NA,1.53
"1994-09-27",0.868,70,43455,NA,1.53
"1994-09-28",0.864,70,43455,NA,1.53
"1994-09-29",0.861,70,43455,NA,1.53
"1994-09-30",0.853,70,43455,NA,1.53
"1994-10-04",0.849,70,43455,NA,1.53
"1994-10-05",0.847,70,43455,NA,1.53
"1994-10-06",0.846,70,43455,NA,1.53
"1994-10-07",0.844,70,43455,NA,1.53
"1994-10-10",0.839,70,43455,NA,1.53
"1994-10-11",0.835,70,43455,NA,1.53
"1994-10-13",0.836,70,43455,NA,1.53
"1994-10-14",0.829,70,43455,NA,1.53
"1994-10-17",0.829,70,43455,NA,1.53
"1994-10-18",0.847,70,43455,NA,1.53
"1994-10-19",0.853,70,43455,NA,1.53
"1994-10-20",0.856,70,43455,NA,1.53
"1994-10-21",0.853,70,43455,NA,1.53
"1994-10-24",0.853,70,43455,NA,1.53
"1994-10-25",0.854,70,43455,NA,1.53
"1994-10-26",0.856,70,43455,NA,1.53
"1994-10-27",0.852,70,43455,NA,1.53
"1994-10-28",0.85,70,43455,NA,1.53
"1994-10-31",0.846,70,43455,NA,1.53
"1994-11-01",0.845,70,41937,NA,2.81
"1994-11-03",0.846,70,41937,NA,2.81
"1994-11-04",0.845,70,41937,NA,2.81
"1994-11-07",0.84,70,41937,NA,2.81
